Employee ID,Age,Age Group,Attrition,Department,Education,Education Field,Environment Satisfaction,Gender,Job Involvement,Job Role,Job Satisfaction,Marital Status,Monthly Income,Salary Slab,Over Time,Performance Rating,Relationship Satisfaction,Training Times Last Year,Work Life Balance,Years At Company,Years Since Last Promotion,Num Attrition,Num Gender
RM297,18,18-25,Yes,Research & Development,3,Life Sciences,3,Male,3,Laboratory Technician,3,Single,1420,Upto 5k,No,3,3,2,3,0,0,1,0
RM302,18,18-25,No,Sales,3,Medical,4,Female,2,Sales Representative,3,Single,1200,Upto 5k,No,3,1,2,3,0,0,0,1
RM458,18,18-25,Yes,Sales,3,Marketing,2,Male,3,Sales Representative,2,Single,1878,Upto 5k,Yes,3,4,3,3,0,0,1,0
RM728,18,18-25,No,Research & Development,2,Life Sciences,2,Male,3,Research Scientist,4,Single,1051,Upto 5k,No,3,4,2,3,0,0,0,0
RM829,18,18-25,Yes,Research & Development,1,Medical,3,Male,3,Laboratory Technician,3,Single,1904,Upto 5k,No,3,4,0,3,0,0,1,0
RM973,18,18-25,No,Research & Development,3,Life Sciences,4,Female,3,Laboratory Technician,4,Single,1611,Upto 5k,No,3,3,5,4,0,0,0,1
RM1154,18,18-25,Yes,Sales,2,Medical,2,Female,3,Sales Representative,4,Single,1569,Upto 5k,Yes,3,3,2,4,0,0,1,1
RM1312,18,18-25,No,Research & Development,3,Medical,2,Female,3,Research Scientist,3,Single,1514,Upto 5k,No,3,3,4,1,0,0,0,1
RM128,19,18-25,Yes,Sales,1,Marketing,4,Male,3,Sales Representative,3,Single,1675,Upto 5k,Yes,3,4,2,2,0,0,1,0
RM150,19,18-25,No,Research & Development,1,Medical,2,Female,3,Laboratory Technician,2,Single,1483,Upto 5k,No,3,4,3,3,1,0,0,1
RM172,19,18-25,Yes,Sales,1,Technical Degree,3,Female,1,Sales Representative,1,Single,2325,Upto 5k,No,4,1,5,4,0,0,1,1
RM178,19,18-25,Yes,Research & Development,3,Life Sciences,2,Male,2,Laboratory Technician,4,Single,1102,Upto 5k,No,4,3,3,2,1,1,1,0
RM423,19,18-25,Yes,Human Resources,2,Technical Degree,1,Male,2,Human Resources,4,Single,2564,Upto 5k,No,3,3,3,4,1,0,1,0
RM689,19,18-25,Yes,Sales,3,Other,4,Male,2,Sales Representative,2,Single,2121,Upto 5k,Yes,3,2,3,4,1,0,1,0
RM854,19,18-25,No,Research & Development,2,Life Sciences,3,Male,3,Research Scientist,1,Single,2552,Upto 5k,No,4,3,4,3,1,0,0,0
RM893,19,18-25,Yes,Research & Development,3,Medical,1,Female,2,Research Scientist,2,Single,1859,Upto 5k,Yes,4,2,2,4,1,0,1,1
